base_beta,sigma,corr_len,sample_idx,alpha_min,sep_event
-0.18,0.01,0.02,0,-0.4080263806190086,1
-0.18,0.01,0.02,1,-0.4020265931646711,1
-0.18,0.01,0.02,2,-0.4068102057645359,1
-0.18,0.01,0.02,3,-0.40561721530213674,1
-0.18,0.01,0.02,4,-0.40626006963559314,1
-0.18,0.01,0.02,5,-0.404374719493947,1
-0.18,0.01,0.02,6,-0.40697484890779684,1
-0.18,0.01,0.02,7,-0.40813324851013577,1
-0.18,0.01,0.02,8,-0.4082927800033553,1
-0.18,0.01,0.02,9,-0.40755721052033,1
-0.18,0.01,0.02,10,-0.4076295152151816,1
-0.18,0.01,0.02,11,-0.4064313874959319,1
-0.18,0.01,0.02,12,-0.40611237671647804,1
-0.18,0.01,0.02,13,-0.4065418772021327,1
-0.18,0.01,0.02,14,-0.40732128084592906,1
-0.18,0.01,0.02,15,-0.40191926034418757,1
-0.18,0.01,0.02,16,-0.40482577110121654,1
-0.18,0.01,0.02,17,-0.40190021654270736,1
-0.18,0.01,0.02,18,-0.40734560643720347,1
-0.18,0.01,0.02,19,-0.40418129720637574,1
-0.18,0.01,0.02,20,-0.40713563086040583,1
-0.18,0.01,0.02,21,-0.4033131360199452,1
-0.18,0.01,0.02,22,-0.4046953020409183,1
-0.18,0.01,0.02,23,-0.4077399648614455,1
-0.18,0.01,0.02,24,-0.4068736169338639,1
-0.18,0.01,0.02,25,-0.40451640152305274,1
-0.18,0.01,0.02,26,-0.4074953407481717,1
-0.18,0.01,0.02,27,-0.40699344139922183,1
-0.18,0.01,0.02,28,-0.4039319626862882,1
-0.18,0.01,0.02,29,-0.4064064204475461,1
-0.18,0.01,0.02,30,-0.40698562417080014,1
-0.18,0.01,0.02,31,-0.4059058568934447,1
-0.18,0.01,0.02,32,-0.40584311960573355,1
-0.18,0.01,0.02,33,-0.4054342149614112,1
-0.18,0.01,0.02,34,-0.402478452955227,1
-0.18,0.01,0.02,35,-0.405096441142006,1
-0.18,0.01,0.02,36,-0.4017672206216656,1
-0.18,0.01,0.02,37,-0.40550783054577744,1
-0.18,0.01,0.02,38,-0.4082581258983934,1
-0.18,0.01,0.02,39,-0.40449625711080917,1
-0.18,0.01,0.02,40,-0.4070034997168256,1
-0.18,0.01,0.02,41,-0.40485341864676977,1
-0.18,0.01,0.02,42,-0.40799689975021936,1
-0.18,0.01,0.02,43,-0.40835233089424333,1
-0.18,0.01,0.02,44,-0.4069725331750997,1
-0.18,0.01,0.02,45,-0.4083298419741912,1
-0.18,0.01,0.02,46,-0.4074460286276679,1
-0.18,0.01,0.02,47,-0.40147803487003864,1
-0.18,0.01,0.02,48,-0.4078914219249544,1
-0.18,0.01,0.02,49,-0.4068982394024331,1
-0.18,0.01,0.02,50,-0.4075542319366097,1
-0.18,0.01,0.02,51,-0.398965993889589,1
-0.18,0.01,0.02,52,-0.4073720950667873,1
-0.18,0.01,0.02,53,-0.40265248345002497,1
-0.18,0.01,0.02,54,-0.4064677731169934,1
-0.18,0.01,0.02,55,-0.4037644546934869,1
-0.18,0.01,0.02,56,-0.40705659861281923,1
-0.18,0.01,0.02,57,-0.40604114784856943,1
-0.18,0.01,0.02,58,-0.4080358200730409,1
-0.18,0.01,0.02,59,-0.40759808495974426,1
-0.18,0.01,0.1,0,-0.4073895104139331,1
-0.18,0.01,0.1,1,-0.4064455819979351,1
-0.18,0.01,0.1,2,-0.40790613607473264,1
-0.18,0.01,0.1,3,-0.4056056987074533,1
-0.18,0.01,0.1,4,-0.4016775116543768,1
-0.18,0.01,0.1,5,-0.40824999296622827,1
-0.18,0.01,0.1,6,-0.4046449036237067,1
-0.18,0.01,0.1,7,-0.39963662350796375,1
-0.18,0.01,0.1,8,-0.40467086132506935,1
-0.18,0.01,0.1,9,-0.40520238420112553,1
-0.18,0.01,0.1,10,-0.4023363483772065,1
-0.18,0.01,0.1,11,-0.4077301824451431,1
-0.18,0.01,0.1,12,-0.4072437515088524,1
-0.18,0.01,0.1,13,-0.400164150133599,1
-0.18,0.01,0.1,14,-0.40836476376411995,1
-0.18,0.01,0.1,15,-0.39856317384363155,1
-0.18,0.01,0.1,16,-0.40725869450782093,1
-0.18,0.01,0.1,17,-0.4040665475413346,1
-0.18,0.01,0.1,18,-0.40319022311854297,1
-0.18,0.01,0.1,19,-0.40651080549575236,1
-0.18,0.01,0.1,20,-0.39461725949242266,1
-0.18,0.01,0.1,21,-0.40694532461393723,1
-0.18,0.01,0.1,22,-0.40543030459891916,1
-0.18,0.01,0.1,23,-0.40780083520350324,1
-0.18,0.01,0.1,24,-0.40703693923998124,1
-0.18,0.01,0.1,25,-0.39599440307869815,1
-0.18,0.01,0.1,26,-0.4046523215433291,1
-0.18,0.01,0.1,27,-0.40752590802083316,1
-0.18,0.01,0.1,28,-0.40275035782804236,1
-0.18,0.01,0.1,29,-0.40753581404974387,1
-0.18,0.01,0.1,30,-0.40377228060972836,1
-0.18,0.01,0.1,31,-0.3990487817648267,1
-0.18,0.01,0.1,32,-0.4066269424479786,1
-0.18,0.01,0.1,33,-0.4052719449573104,1
-0.18,0.01,0.1,34,-0.4040490143929917,1
-0.18,0.01,0.1,35,-0.40741855495453905,1
-0.18,0.01,0.1,36,-0.4037265988963359,1
-0.18,0.01,0.1,37,-0.4033291867274974,1
-0.18,0.01,0.1,38,-0.4024787184424686,1
-0.18,0.01,0.1,39,-0.40497767635838133,1
-0.18,0.01,0.1,40,-0.4068898928637394,1
-0.18,0.01,0.1,41,-0.4042402928103969,1
-0.18,0.01,0.1,42,-0.40727889808402895,1
-0.18,0.01,0.1,43,-0.3989877466807597,1
-0.18,0.01,0.1,44,-0.40764162197840526,1
-0.18,0.01,0.1,45,-0.40683606663270794,1
-0.18,0.01,0.1,46,-0.40226344670924163,1
-0.18,0.01,0.1,47,-0.40363701005310115,1
-0.18,0.01,0.1,48,-0.39766841604850417,1
-0.18,0.01,0.1,49,-0.4051560980778315,1
-0.18,0.01,0.1,50,-0.4072522355475814,1
-0.18,0.01,0.1,51,-0.3949443544872025,1
-0.18,0.01,0.1,52,-0.404261875477083,1
-0.18,0.01,0.1,53,-0.40471766309974583,1
-0.18,0.01,0.1,54,-0.4075829156476116,1
-0.18,0.01,0.1,55,-0.40395307335956643,1
-0.18,0.01,0.1,56,-0.40121702545955423,1
-0.18,0.01,0.1,57,-0.3987492345959701,1
-0.18,0.01,0.1,58,-0.4080979680612997,1
-0.18,0.01,0.1,59,-0.3931835539311413,1
-0.18,0.01,0.3,0,-0.39075929933314385,1
-0.18,0.01,0.3,1,-0.38831343413530306,1
-0.18,0.01,0.3,2,-0.4056733596217393,1
-0.18,0.01,0.3,3,-0.39872577788823144,1
-0.18,0.01,0.3,4,-0.39073169016226084,1
-0.18,0.01,0.3,5,-0.3919307401919867,1
-0.18,0.01,0.3,6,-0.4047615147664769,1
-0.18,0.01,0.3,7,-0.40752773310856466,1
-0.18,0.01,0.3,8,-0.4080771647926058,1
-0.18,0.01,0.3,9,-0.3991369865842747,1
-0.18,0.01,0.3,10,-0.40777826059219313,1
-0.18,0.01,0.3,11,-0.4080150540832539,1
-0.18,0.01,0.3,12,-0.407499864269628,1
-0.18,0.01,0.3,13,-0.39644434711418863,1
-0.18,0.01,0.3,14,-0.4024309263011141,1
-0.18,0.01,0.3,15,-0.4059218265075504,1
-0.18,0.01,0.3,16,-0.4034706750144375,1
-0.18,0.01,0.3,17,-0.40253393948629573,1
-0.18,0.01,0.3,18,-0.3951563874491513,1
-0.18,0.01,0.3,19,-0.3925482106492589,1
-0.18,0.01,0.3,20,-0.40478554665280625,1
-0.18,0.01,0.3,21,-0.3835766624439868,1
-0.18,0.01,0.3,22,-0.39850886683388176,1
-0.18,0.01,0.3,23,-0.3932395968009741,1
-0.18,0.01,0.3,24,-0.38879631527763503,1
-0.18,0.01,0.3,25,-0.3993951915087743,1
-0.18,0.01,0.3,26,-0.4008443392436358,1
-0.18,0.01,0.3,27,-0.4049762297289826,1
-0.18,0.01,0.3,28,-0.3964947706729775,1
-0.18,0.01,0.3,29,-0.4005868721433848,1
-0.18,0.01,0.3,30,-0.3872652484892304,1
-0.18,0.01,0.3,31,-0.39880275877961996,1
-0.18,0.01,0.3,32,-0.3927961961197603,1
-0.18,0.01,0.3,33,-0.4081535986756692,1
-0.18,0.01,0.3,34,-0.3961396829893344,1
-0.18,0.01,0.3,35,-0.38657608615587963,1
-0.18,0.01,0.3,36,-0.3986263315450958,1
-0.18,0.01,0.3,37,-0.3979154276447748,1
-0.18,0.01,0.3,38,-0.40788209314202417,1
-0.18,0.01,0.3,39,-0.4074843733356944,1
-0.18,0.01,0.3,40,-0.40832287728667743,1
-0.18,0.01,0.3,41,-0.3962301129257658,1
-0.18,0.01,0.3,42,-0.40178124033960544,1
-0.18,0.01,0.3,43,-0.39665468284051325,1
-0.18,0.01,0.3,44,-0.3840702762786332,1
-0.18,0.01,0.3,45,-0.4081922069689992,1
-0.18,0.01,0.3,46,-0.3942530370155692,1
-0.18,0.01,0.3,47,-0.4034397029859889,1
-0.18,0.01,0.3,48,-0.39491710865221286,1
-0.18,0.01,0.3,49,-0.4041912145535181,1
-0.18,0.01,0.3,50,-0.40565507431534986,1
-0.18,0.01,0.3,51,-0.39020878732323483,1
-0.18,0.01,0.3,52,-0.3969243884042174,1
-0.18,0.01,0.3,53,-0.4062062737569348,1
-0.18,0.01,0.3,54,-0.40374974812127506,1
-0.18,0.01,0.3,55,-0.4038730545459153,1
-0.18,0.01,0.3,56,-0.39258958038216946,1
-0.18,0.01,0.3,57,-0.3948693706582334,1
-0.18,0.01,0.3,58,-0.40580403779035645,1
-0.18,0.01,0.3,59,-0.3983285079721724,1
-0.18,0.03,0.02,0,-0.4048104845900029,1
-0.18,0.03,0.02,1,-0.40837721137434174,1
-0.18,0.03,0.02,2,-0.40539633972464495,1
-0.18,0.03,0.02,3,-0.40540921566900046,1
-0.18,0.03,0.02,4,-0.40518672299983843,1
-0.18,0.03,0.02,5,-0.40663647556387705,1
-0.18,0.03,0.02,6,-0.40801500563713355,1
-0.18,0.03,0.02,7,-0.4081494299470229,1
-0.18,0.03,0.02,8,-0.40762844045236724,1
-0.18,0.03,0.02,9,-0.40430791762249335,1
-0.18,0.03,0.02,10,-0.40777585728624166,1
-0.18,0.03,0.02,11,-0.4067557607594653,1
-0.18,0.03,0.02,12,-0.4060331260663174,1
-0.18,0.03,0.02,13,-0.407168345658361,1
-0.18,0.03,0.02,14,-0.4056472878338759,1
-0.18,0.03,0.02,15,-0.4056554526082309,1
-0.18,0.03,0.02,16,-0.4068057813122354,1
-0.18,0.03,0.02,17,-0.4049084440350399,1
-0.18,0.03,0.02,18,-0.4041282722830222,1
-0.18,0.03,0.02,19,-0.40626815490782586,1
-0.18,0.03,0.02,20,-0.405419446542842,1
-0.18,0.03,0.02,21,-0.40153790297022796,1
-0.18,0.03,0.02,22,-0.40654433492922265,1
-0.18,0.03,0.02,23,-0.4061754016273765,1
-0.18,0.03,0.02,24,-0.4068663836237969,1
-0.18,0.03,0.02,25,-0.4039276243231837,1
-0.18,0.03,0.02,26,-0.4073581764434592,1
-0.18,0.03,0.02,27,-0.40776728588527045,1
-0.18,0.03,0.02,28,-0.40779864479355954,1
-0.18,0.03,0.02,29,-0.40273333898682956,1
-0.18,0.03,0.02,30,-0.40696424090076816,1
-0.18,0.03,0.02,31,-0.4066000647199,1
