base_beta,sigma,corr_len,sep_prob,alpha_min_mean,alpha_min_std,alpha_min_q05,alpha_min_q50,alpha_min_q95
-0.18,0.01,0.02,1.0,-0.40586478591808484,0.002111190860614475,-0.4082598586036415,-0.40650482515956304,-0.4018935667466553
-0.18,0.01,0.1,1.0,-0.4040401067005911,0.0037314051999494226,-0.407915727674061,-0.40469426221240756,-0.3959419006491234
-0.18,0.01,0.3,1.0,-0.3991757443892187,0.006805647759651135,-0.408080986486759,-0.39896987268194734,-0.38723079037256286
-0.18,0.03,0.02,1.0,-0.40587100367909323,0.0022527027677441244,-0.40830155691358255,-0.40661827014188856,-0.40213075969593204
-0.18,0.03,0.1,1.0,-0.4057138758812967,0.0029213565932875137,-0.4081831753118556,-0.4067530377111529,-0.40067859509405684
-0.18,0.03,0.3,1.0,-0.4059304757362364,0.0033764780740170707,-0.40841167119238414,-0.4070581724464962,-0.40051239699470337
-0.18,0.05,0.02,1.0,-0.4049472950512033,0.0032164781290362366,-0.40805626305893344,-0.4059305228122624,-0.3985819748932319
-0.18,0.05,0.1,1.0,-0.40530208477160373,0.0026227095421429373,-0.4081790230674753,-0.40571974221437557,-0.40140819205096195
-0.18,0.05,0.3,1.0,-0.40351445751649034,0.004893057470983461,-0.4081685513915405,-0.4048488576876478,-0.39752127112609964
-0.17,0.01,0.02,1.0,-0.39743325533313006,0.004612315538110567,-0.4049247048625465,-0.3965363629296814,-0.390550619597126
-0.17,0.01,0.1,1.0,-0.39372523225967354,0.008335338752715525,-0.407082344264557,-0.3927820668588123,-0.3800285333215292
-0.17,0.01,0.3,1.0,-0.38876139810363036,0.0071141150040446985,-0.39933046312029236,-0.3886054557085311,-0.3776276229435872
-0.17,0.03,0.02,1.0,-0.40561291315806786,0.0024247434236599258,-0.40823386362146763,-0.40638576687596556,-0.4021120541222583
-0.17,0.03,0.1,1.0,-0.40451973670717023,0.005185350434182351,-0.40827142183260273,-0.4068603300492547,-0.396185020613897
-0.17,0.03,0.3,1.0,-0.40362177240722674,0.007055485344220238,-0.40815982435919,-0.40585311809059044,-0.3891460972107155
-0.17,0.05,0.02,1.0,-0.4039940961626193,0.0038016185182458088,-0.40786217240895106,-0.40475932379737584,-0.3967250410010798
-0.17,0.05,0.1,1.0,-0.40436805723010355,0.004070246710307262,-0.40820564381504637,-0.40558057549505505,-0.39472878516973187
-0.17,0.05,0.3,1.0,-0.4030156703448066,0.007714412946373009,-0.4082705530357016,-0.4056683296462942,-0.3884694224001014
-0.165,0.01,0.02,1.0,-0.39269872073069234,0.006202395401539963,-0.4032350498555875,-0.392361668023238,-0.383260671453611
-0.165,0.01,0.1,1.0,-0.3886898466828334,0.007739563726601838,-0.4028475078910434,-0.3887342868776878,-0.3789104917723028
-0.165,0.01,0.3,0.9666666666666667,-0.35258776605895914,0.11048051005796776,-0.3958791097867594,-0.3815892029491076,-0.2047266021116243
-0.165,0.03,0.02,1.0,-0.4045514799074272,0.003930544296534285,-0.40804436027515395,-0.4061895178594055,-0.3960052421895168
-0.165,0.03,0.1,1.0,-0.40241636258019553,0.007674554839312598,-0.4078830221312364,-0.405213611147197,-0.38554149918067987
-0.165,0.03,0.3,0.95,-0.37003238104001857,0.12588197688194847,-0.40818467354786164,-0.40320011508103204,-0.3403375391676814
