base_beta,sigma,corr_len,sep_prob,alpha_min_mean,alpha_min_std
-0.18,0.02,0.02,1.0,0.0,0.0
-0.18,0.02,0.1,1.0,0.0,0.0
-0.18,0.05,0.02,1.0,0.0,0.0
-0.18,0.05,0.1,1.0,0.0,0.0
-0.18,0.08,0.02,1.0,0.0,0.0
-0.18,0.08,0.1,1.0,0.0,0.0
-0.16,0.02,0.02,0.725,0.016679929633371372,0.030980519634441223
-0.16,0.02,0.1,0.275,0.0631770931863804,0.044275237379901175
-0.16,0.05,0.02,1.0,0.0,0.0
-0.16,0.05,0.1,0.975,0.002528444164147714,0.015790128744164585
-0.16,0.08,0.02,1.0,0.0,0.0
-0.16,0.08,0.1,1.0,0.0,0.0
-0.13,0.02,0.02,0.0,0.14779785225558414,0.036337047191102714
-0.13,0.02,0.1,0.0,0.15891549320213685,0.04293413058460892
-0.13,0.05,0.02,0.975,0.0017302984430630584,0.010805710313560663
-0.13,0.05,0.1,0.825,0.02240749540166428,0.05062044594999141
-0.13,0.08,0.02,1.0,0.0,0.0
-0.13,0.08,0.1,1.0,0.00016472447643931423,0.0010287040256507416
-0.1,0.02,0.02,0.0,0.22354213459375566,0.022425311993787996
-0.1,0.02,0.1,0.0,0.25074486787978995,0.025488265495984336
-0.1,0.05,0.02,0.525,0.04408864666200002,0.05569280349137697
-0.1,0.05,0.1,0.55,0.06178437316595744,0.0796014358475766
-0.1,0.08,0.02,1.0,0.0,0.0
-0.1,0.08,0.1,0.775,0.03106552387123957,0.06568439884443172
